_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
501,Active,21 166739 ESC 21 OZ,2021-06-07,"Zoning By-law Amendment application for a mixed-use development on 4 blocks (1, 5, 7 & 10), with a total gross floor area of 213,314 sq. m (195,558 sq, m for residential uses; 1,743 sq. m of retail uses; and 16,013 sq. m of new and existing office uses),",2200-2206 EGLINTON AVE E,21,195558,3723,199281,2363,http://app.toronto.ca/AIC/index.do?folderRsn=%2Fydz4P5GMHpuliAoxNgX5A%3D%3D
502,Built,11 184584 STE 27 OZ,2011-04-29,Rezoning application to permit the re-development of the lands for the purposes of a new 35 storey mixed use building complete with retail at grade and 361 residential units above.,159 WELLESLEY ST E,13,23320,160,23480,360,
503,Under Review,16 172062 ESC 41 OZ,2016-06-10,Proposed 10-storey retirement home/senior's residence containing 119 dwelling units and 130 bed-sitting rooms with at-grade retail and medical office uses and a one-level underground parking garage with 105 parking spaces spaces. New 18.5m wide public st,25 GLEN WATFORD DR,23,17828.7,758,18586.7,119,http://app.toronto.ca/AIC/index.do?folderRsn=Hong%2B3%2FHJdg6ApZysl9SiA%3D%3D
504,Built,19 244316 WET 03 SA,2019-11-01,"Proposed one-storey (1,521 m2) addition to the existing industrial building (MC Dairy Plant) for Toronto Future Bakery Ltd. A total of 55 Parking spaces are proposed to service the site.",106 NORTH QUEEN ST,3,0,1553,1553,0,http://app.toronto.ca/AIC/index.do?folderRsn=IMyGihApXxWPVt7IUBrVZg%3D%3D
505,Built,12 235622 STE 27 OZ,2012-08-24,"Proposal to construct a 49 sty condo with 514 residential units, commercial at grade, maintain portion of Heritage building, and below grade parking.  Application has been appealed to the Ontario Municipal Board as of April 5, 2013.  RESUBMISSION - Propo",593 YONGE ST,13,34462,3085,37547,525,
506,Active,14 122777 STE 20 OZ,2014-02-27,Proposal to construct a 48-storey office tower.  The subject site includes 151 Front Street West and 20 York Street.,171 FRONT ST W,10,0,116682,116682,0,http://app.toronto.ca/AIC/index.do?folderRsn=318upxgcefnHkQB%2FTPtN9A%3D%3D
507,Active,19 208733 ESC 21 OZ,2019-08-20,"Official Plan Amendment application to add new policies to the Official Plan for the site at the northwest corner of Hakimi Ave and Eglinton Ave E (SmartCentres).  The Site and Area Specific Policy (SASP) would permit future mixed-use development, new pu",1900 EGLINTON AVE E,21,453255,39396,492651,5529,http://app.toronto.ca/AIC/index.do?folderRsn=la2POCkkaigw9%2F6pixvLtA%3D%3D
508,Under Review,21 136860 STE 19 OZ,2021-04-07,City Initiated Official Plan and Zoning By-law Amendment seeking to permit two buildings on site. The proposal is for a building fronting Queen Street West with 6 residential storeys and a partial 7th storey for enclosed mechanical penthouse and amenity,1631 QUEEN ST E,19,20196,1710,21906,279,http://app.toronto.ca/AIC/index.do?folderRsn=ReLVaGWNsUkzIi%2F2lscEPg%3D%3D
509,Active,08 112855 WET 03 OZ,2008-02-21,Demolish existing 3 office buildings and construct residential towers with  heights ranging up to 31 storeys.,2-6 EVA RD,2,81440,0,81440,904,
510,Active,19 184841 STE 09 OZ,2019-07-08,"Combined Official Plan Amendment and Zoning By-law Amendment application to redevelop the north end of the Dufferin Mall site. The proposal includes a new street and public park, and four towers ranging in height from 14 storeys to 39 storeys.",900 DUFFERIN ST,9,87895,13353,101248,1200,http://app.toronto.ca/AIC/index.do?folderRsn=FaDhXd6XNlBjz1AHtkDp8Q%3D%3D
511,Built,16 254034 NNY 16 OZ,2016-11-21,"REVISED proposal for a 7-unit, 3-storey townhouse development on a lot at the north-west corner of Avenue Road and Hillhurst Blvd. Access to 7 rear parking spaces via a driveway from Hillhurst Blvd.   Concurrent Site Plan application - File # 16-254041 N",1202 AVENUE RD,8,1138.5,0,1138.5,7,http://app.toronto.ca/AIC/index.do?folderRsn=QJy0wKkvWjtexbJqTdiKCA%3D%3D
512,Under Review,21 236250 WET 03 OZ,2021-11-09,"The proposed development consists of a mixed-use building with 36 storey and 29 storey towers (respectively 116.2 m and 98.7 m in height excl. mechanical penthouses) 413 sqm of retail at grade, a 12,374 sqm multi-storey self-storage building as a future",266 ROYAL YORK RD,3,51726,14635,66361,824,http://app.toronto.ca/AIC/index.do?folderRsn=urRzax6GgH0AvljTYHWawA%3D%3D
513,Active,18 265487 NNY 18 OZ,2018-12-06,"7 storey mixed use, mid-rise building with 52.84 sqm of retail uses at grade, 30 residential units and 2 levels of parking.  Vehicular access to the building is to occur via a driveway located at the western edge of the site, which will pass under the se",110 SHEPPARD AVE W,18,2786.09,0,2786.09,30,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=4496553&isCofASearch=false
514,Active,18 270817 WET 03 OZ,2018-12-20,49 storey mixed use development located within the open space area of an existing high-rise rental building at the subject property.,25 MABELLE AVE,3,39531,79,39610,580,http://app.toronto.ca/AIC/index.do?folderRsn=%2Bz5T4NuVaMBXHryKmakZAQ%3D%3D
