_id,Pipeline Status,Application Number,Date Received,Description,Address,Ward,Proposed Residential Gross Floor Area,Proposed Non-Residential Gross Floor Area,Proposed Gross Floor Area,Proposed Residential Units,Application Information Centre Link
1900,Active,19 244078 STE 11 OZ,2019-11-01,"Official Plan and Zoning By-law Amendment Application to facilitate the development of a 53.5 metre (15-storey, excluding mechanical penthouse) mixed-use building comprised of 300 square metres of non-residential gross floor area and 106 residential dwel",287 DAVENPORT RD,11,12364,256,12620,63,http://app.toronto.ca/AIC/index.do?folderRsn=C%2BeSd1r4ioqOFatYV9CT9Q%3D%3D
1901,Active,21 231497 STE 11 OZ,2021-10-28,"Zoning by-law Amendment application to permit a 19-storey mixed-use building, containing 42 dwelling units and 440 square metres of non-residential gross floor area.",100 DAVENPORT RD,11,10296,442,10738,43,http://app.toronto.ca/AIC/index.do?folderRsn=8s%2BO3M6IzUDys1SaXz5EPg%3D%3D
1902,Active,22 236510 STE 09 OZ,2022-12-06,"Zoning By-law Amendment for an 18-storey mixed-use development containing 364 square metres of employment uses at-grade and 12,189 square of metres of residential gross floor area including 175 purpose-built residential rental units above.    This applic",450 DUFFERIN ST,9,12388.4,364.1,12752.5,175,http://app.toronto.ca/AIC/index.do?folderRsn=5k7UJu5Z2aSZJq2doYA9sQ%3D%3D
1903,Built,14 267424 STE 20 OZ,2014-12-23,"Proposed zoning amendment to redevelop the site with a 15-storey mixed-use building. The building will have a height 49.66 metres including the mechanical penthouse and will contain 476 residential units, 213 undergraound parking spaces and retail uses a",543 RICHMOND ST W,10,38629,1748,40377,475,http://app.toronto.ca/AIC/index.do?folderRsn=02wp5ezdEKMSo8h%2FqC80Cw%3D%3D
1904,Built,16 205578 NNY 24 OZ,2016-08-11,"Proposal for 30, 3-storey stacked townhouses with below grade parking and an FSI of 1.21.    **SEE SA FOLDER FOR LATEST CIRCULATION**",260 FINCH AVE E,18,2847.94,0,2847.94,30,
1905,Active,24 119348 STE 12 OZ,2024-02-27,Zoning By-law Amendment for a new 50-storey (162.30 metres excluding mechanical penthouse) residential building comprised of a tower and podium base.,29 PLEASANT BLVD,12,27733,0,27733,370,http://app.toronto.ca/AIC/index.do?folderRsn=M290SXTrR1dfE2kvXL0kTA%3D%3D
1906,Under Review,20 229115 NNY 08 OZ,2020-12-14,Applications for Zoning By-law Amendment and Site Plan Control have been revised and submitted. The initial proposal was for two towers measuring 24 storeys (90 Eglinton Ave W) and 32 storeys (50-60 Eglinton Ave W) in height. The proposal has now been am,50-60 EGLINTON AVE W,8,97344.7,2800.7,100145.4,1559,http://app.toronto.ca/AIC/index.do?folderRsn=2vCFK%2Bw2tAsTHYuXenqFrQ%3D%3D
1907,Under Review,22 242108 WET 03 SA,2022-12-23,Proposed three single storey buildings consisting of two industrial buildings and a storage building. Total GFA of 4442sqm.,85 VICKERS RD,3,0,4720.32,4720.32,0,http://app.toronto.ca/AIC/index.do?folderRsn=INSl2suLeM4MEBdwyBtB5A%3D%3D
1908,Active,23 166287 STE 04 OZ,2023-06-26,Proposed 6 storey residential building containing 19 dwelling units,7 LAXTON AVE,4,1160.7,0,1160.7,19,http://app.toronto.ca/AIC/index.do?folderRsn=xSLU6h3l3%2FMU0snGRY3bkQ%3D%3D
1909,Built,08 171665 STE 20 OZ,2008-06-17,rezoning and site plan approval for the demolition of an existing four storey office building and construction of 9 storey mixed use building with ground floor conmmercial  and 26 residential units above complete with two storeys of parking below grade.,10 PRINCE ARTHUR AVE,11,6823,406,7229,25,
1910,Under Review,24 204279 STE 09 OZ,2024-08-27,"Combined Official Plan & Zoning By-law Amendments for a 34-storey mixed-use building (excluding mechanical penthouse) with 446 residential dwelling units. The total Gross Floor Area is 32,334 square metres, including 910 square metres of retail, 111 park",1901 EGLINTON AVE W,9,32334.1,909.8,33243.9,446,http://app.toronto.ca/AIC/index.do?folderRsn=qc5SqOx4rjZdFqJRhBTfZw%3D%3D
1911,Built,17 116336 WET 12 SA,2017-02-13,"Site Plan appliation for the north half of the property ""North Phase only""",2175 KEELE ST,5,20387,0,20387,244,http://app.toronto.ca/AIC/index.do?folderRsn=TjG%2BEdgzXwg32EyMa%2FiR%2BQ%3D%3D
1912,Active,11 239404 STE 19 SA,2011-07-15,Site plan approval application to maintain existing 615 m2 heritage building and proposed use is a public art gallery - CONVENIENCE ADDRESS IS 68 EAST LIBERTY ST.,70 EAST LIBERTY ST,10,0,205.2,205.2,0,http://app.toronto.ca/AIC/index.do?folderRsn=jGXFCXPVQVk8X7IfyI0SJw%3D%3D
1913,Under Review,21 178720 STE 11 OZ,2021-07-02,"Zoning By-law Amendment application to permit a 35-storey mixed-use building, containing 355 dwelling units and 500 square metres of non-residential gross floor area. The proposal includes a 140 square metre POPS, heritage conservation on the site, and 3",148 AVENUE RD,11,24095,487,24582,333,http://app.toronto.ca/AIC/index.do?folderRsn=rudwz1kLVrkdMbJ8BDHaoQ%3D%3D
1914,Active,20 217595 ESC 21 OZ,2020-11-12,"Zoning By-law Amendment application to permit an 11-storey (36 metres excluding mechanical penthouse) mixed-use building at 2683 Lawrence Avenue East. The proposal consists of a total gross floor area (GFA) of 19,168 sq. m. (18,579 sq. m. for residential",2683 LAWRENCE AVE E,21,19056.8,570.9,19627.7,206,http://app.toronto.ca/AIC/index.do?folderRsn=3O3R%2FvnWj0wPsiF9zqEKsQ%3D%3D
1915,Under Review,24 243361 NNY 08 OZ,2024-11-26,"Proposed Official Plan and Zoning By-law Amendment to permit a mixed-use development consisting of 35 and 37-storey residential towers on a shared 6-storey podium with 886 residential units, 56,977.50 square metres of gross floor area (GFA), including 65",245 MARLEE AVE,8,56212,660,56872,886,http://app.toronto.ca/AIC/index.do?folderRsn=XcxXGckDenJHtedSk9yQrw%3D%3D
1916,Active,23 192767 STE 13 OZ,2023-08-23,Zoning By-law Amendment to permit a 7-storey mixed-use building having a non-residential gross floor area of 270 square metres. 39 rental dwelling units are proposed.,211 GERRARD ST E,13,4953,273,5226,60,http://app.toronto.ca/AIC/index.do?folderRsn=0Jyo%2Btf991S6k0v9QJkVCA%3D%3D
1917,Under Review,23 128433 ESC 21 OZ,2023-03-29,"The proposal includes one 12-storey mid-rise building and five towers with heights that range from 23- to 48-storeys, with taller buildings directed towards the Highway 401/Warden Avenue interchange. Overall, the proposed development includes a total gro",22 METROPOLITAN RD,21,130705.73,27797.25,158502.98,1664,http://app.toronto.ca/AIC/index.do?folderRsn=ytOI%2BXjVIdZ%2FxLfTRGTk5A%3D%3D
1918,Under Review,24 187292 WET 03 SA,2024-07-25,"Proposed 3-storey school with a childcare on the subject site. The total proposed GFA for the replacement school and childcare is 6374.00 square metres. There are 64 vehicular parking spaces proposed (4 short term at grade, 60 below) including 1 barrier",5 REDCAR AVE,3,0,6425,6425,0,http://app.toronto.ca/AIC/index.do?folderRsn=pWZ8PxtHlHaa3l9bkeZQvg%3D%3D
1919,Active,12 152660 STE 20 OZ,2012-04-12,Zoning Amendment application to facilitate the redevelopment of the site with a 49-storey mixed-use building including a 5-storey podium containing commercial uses.,263 ADELAIDE ST W,10,28695,3087,31782,432,http://app.toronto.ca/AIC/index.do?folderRsn=bzNt32X3%2BxtY8geI1jSkfA%3D%3D
1920,Under Review,20 210382 NNY 17 SA,2020-10-23,"Site Plan application to permit the proposal for the North development consisting of two six-storey buildings, one 20-storey tower and a commercial addition to the existing shopping centre for a total gross floor area of 39,600 square metres (30,800 resi",2901 BAYVIEW AVE,17,32312.8,7541.1,39853.9,471,http://app.toronto.ca/AIC/index.do?folderRsn=IWoykYRKw7wSU8z5rpnaIg%3D%3D
1921,Active,21 101581 NNY 08 OZ,2021-01-07,"Zoning By Law Amendment Application to permit a 65-storey mixed-use building with a height of 220 metres to the top of the mechanical penthouse, containing 663 dwelling units, 550 square metres of commercial space and three levels of underground parking.",36 EGLINTON AVE W,8,38817,2784.5,41601.5,613,http://app.toronto.ca/AIC/index.do?folderRsn=u7RJXMff%2Foavp5A9O6OjOg%3D%3D
1922,Active,22 114259 STE 14 OZ,2022-02-15,"Zoning By-law amendment application to facilitate the redevelopment of the site for a 13-storey mixed-use building having a non-residential gross floor area of 719.1 square metres, and a residential gross floor area of  17794.4 square metres.  270 rental",1111 DANFORTH AVE,14,18961.5,1576.4,20537.9,290,http://app.toronto.ca/AIC/index.do?folderRsn=1fpgLIYJ3tF8OSvH4UccEQ%3D%3D
1923,Active,16 264686 ESC 35 SA,2016-12-15,"Proposed redevelopment of a former KFC restaurant site with a new 7-storey mixed use building containing 19 residential units (GFA of 2,199 m2) and commercial space on the ground floor (93 m2). A total of 18 parking spaces are proposed at-grade, of which",3359 DANFORTH AVE,20,1930.72,65.62,1996.34,26,http://app.toronto.ca/AIC/index.do?folderRsn=WZtUx9QkMjEsibjjeXnMiw%3D%3D
1924,Active,24 215939 STE 04 SA,2024-09-20,Site Plan Approval for a 4-storey residential building with 42 dwelling units. This is a City-led Priority Housing Projects development.,11 BROCK AVE,4,2888.7,0,2888.7,42,http://app.toronto.ca/AIC/index.do?folderRsn=rsJBuV9dbGZxl0Vw0lq5%2BQ%3D%3D
1925,Built,17 278837 WET 05 SA,2017-12-22,"The proposed development consists of 50 industrial units with a total gross floor area of 11,636 square metres.",66 JUTLAND RD,3,0,11636,11636,0,http://app.toronto.ca/AIC/index.do?folderRsn=Xr1CEuUbBik6rQaiaSmftw%3D%3D
1926,Active,21 215777 WET 03 OZ,2021-09-21,"Official Plan and Zoning By-law Amendment application to permit the redevelopment of the subject lands with a 41 storey high-rise mixed-use residential building, comprised of 497 residential units, at-grade commercial space and a 300 square metre off-sit",5238 DUNDAS ST W,3,31253.56,379,31632.56,521,http://app.toronto.ca/AIC/index.do?folderRsn=TaiTFaJLtTXeIwS%2Fn7iNTw%3D%3D
1927,Active,22 174753 ESC 25 SA,2022-07-11,This new facility will be the primary welcome centre for visitors to Parks Canadas first National Urban Park. This leading edge net-zero carbon building will serve many purposes and will house the following functional spaces: a welcome and reception area,1749 MEADOWVALE RD,25,0,996,996,0,http://app.toronto.ca/AIC/index.do?folderRsn=X6s16mNIph%2FSYfby%2BWtTBQ%3D%3D
1928,Built,18 135369 STE 27 OZ,2018-03-27,"Zoning By-law and Official Plan Amendment to facilitate redevelopment of the site with 2 buildings: a 62-storey mixed-use building on the north parcel with a total of 674 units, of which 81 will be rental replacement units, and a 2-storey commercial buil",11 YORKVILLE AVE,11,48646,2486,51132,700,http://app.toronto.ca/AIC/index.do?folderRsn=A1xSYxCOhgud1VYL6w0OfQ%3D%3D
1929,Active,22 140336 NNY 18 OZ,2022-04-29,"Official Plan and Zoning By-law amendment for a 10-storey mid-rise building with ground floor townhouse units and two levels of underground parking. The project proposes 453 residential units, 33,476 sq.m. of residential GFA, and 394 parking spaces.",16 CENTRE AVE,18,37910,81,37991,510,http://app.toronto.ca/AIC/index.do?folderRsn=03P6xNgORrbyno42%2FpMZvw%3D%3D
1930,Under Review,20 234545 ESC 25 SA,2020-12-29,Proposed redevelopment for a new 4 storey mixed-use residential/institutional retirement care facility.,45 LAWSON RD,25,32008,576,32584,345,http://app.toronto.ca/AIC/index.do?folderRsn=viU5Fd86qhG7GKEI2ZgQDw%3D%3D
1931,Built,11 311421 NNY 08 SA,2011-11-17,Proposed three storey office building (3219.46m2) with 77 surface parking spaces.,132 TORO RD,6,0,3219.46,3219.46,0,
1932,Under Review,24 141137 NNY 15 SA,2024-04-26,"This is a Site Plan Review application for the Ontario Line Maintenance and Storage Facility (OMSF). The OMSF lot area is approximately 195,489 square metres and the total GFA of all proposed new buildings is approximately 21,233 square metres.    A port",50 VILLAGE STATION RD,15,0,21219.04,21219.04,0,http://app.toronto.ca/AIC/index.do?folderRsn=zNiBPpttSTrTOyd5LJmDnA%3D%3D
1933,Under Review,22 168976 ESC 23 OZ,2022-06-28,Official Plan Amendment and Zoning By-law amendment proposal in order to redevelop the Malvern Town Centre using a Phased approach. The Official Plan amendment seeks to establish a Master Plan for the subject site and the Zoning By-law Amendment (the Pha,31 TAPSCOTT RD,23,68485,1135,69620,894,http://app.toronto.ca/AIC/index.do?folderRsn=JESfkj8bMCzptX4AkHwL8A%3D%3D
1934,Active,17 228459 STE 28 SA,2017-09-06,"Site Plan Application for Phase 1 of the 215 Lake Shore Boulevard E proposed development to permit two mixed use buildings with a total of three towers with heights of 54, 44, and 15 storeys, containing 1,261 units and 609.8 square metres of commercial g",215 LAKE SHORE BLVD E,10,92615,735,93350,1261,http://app.toronto.ca/AIC/index.do?folderRsn=CsSVZgbyLYF7CG%2B%2FZZiWnw%3D%3D
1935,Under Review,23 213844 STE 04 OZ,2023-10-12,"This proposal was appealed to the OLT and subsequently settled with Council adoption in April 2025. The proposal is for an 18-storey (57m excluding mechanical penthouse) building comprised of a total of 14,850 m2 (14,517m2 of residential, 333m2 of non-re",1304 KING ST W,4,14512.8,332.3,14845.1,230,http://app.toronto.ca/AIC/index.do?folderRsn=UfZM%2F9JN3E%2BvPKHjLy0YVA%3D%3D
1936,Under Review,23 126078 STE 13 SA,2023-03-23,"Proposal for three buildings based on an approved Municipal Zoning Order. A total of 997 dwelling units, including 282 affordable rental dwelling units (approximately 28% of the total), a 955 square metre community space and 505 square metres of retail s",153 EASTERN AVE,13,74254,513,74767,997,http://app.toronto.ca/AIC/index.do?folderRsn=9aARTfgKBdtvYwKJP%2F25Nw%3D%3D
1937,Active,23 143181 STE 13 OZ,2023-05-08,Official Plan and Zoning By-law Amendment application for 52-storey mixed-use building that would integrate the existing designated heritage building into the base of the tower and would contain approximately 546 square metres of retail space on the grou,20 FRONT ST W,13,34487,625,35112,480,http://app.toronto.ca/AIC/index.do?folderRsn=dta7ru7jbjxwhpFv0%2BVo8w%3D%3D
1938,Active,21 178622 STE 13 OZ,2021-07-02,"Official Plan and Zoning By-law amendment application to facilitate the development of the site for a 20-storey student  residential building having a gross floor area of 12, 920 square metres.",294 SHERBOURNE ST,13,13348,0,13348,173,http://app.toronto.ca/AIC/index.do?folderRsn=NED14e2BFFdV8k6LHipr4A%3D%3D
1939,Built,15 141224 WET 05 SA,2015-04-15,"Proposed development of three, 1-storey automotive dealership buildings",630 KIPLING AVE,3,0,11221,11221,0,http://app.toronto.ca/DevelopmentApplications/associatedApplicationsList.do?action=init&folderRsn=3729264&isCofASearch=false
1940,Active,19 199402 STE 10 OZ,2019-08-01,"The application proposes to amend the Zoning By-law to redevelop the site with a hotel development comprised of a two-storey base building and two tower elements above, one fronting Spadina Avenue (14 storeys - 41.45 metres including the mechanical penth",184 SPADINA AVE,10,0,10727.35,10727.35,0,http://app.toronto.ca/AIC/index.do?folderRsn=ouyBxqjVmAVaqB0q0xaURg%3D%3D
1941,Under Review,21 252235 NNY 08 OZ,2021-12-30,"Zoning by-law Amendment application for a mixed-use building having a non-residential gross floor area of 906 square metres, and 43,296 square metres of residential gross floor area. A total of 672 residential units in two towers of 20 and 27 storeys ato",2451 DUFFERIN ST,8,43203.5,936.7,44140.2,671,http://app.toronto.ca/AIC/index.do?folderRsn=0i9JVKv2u8UQQ4HtJYXkeg%3D%3D
1942,Under Review,21 251194 NNY 08 OZ,2021-12-23,"Official Plan and Zoning by-law amendment application to facilitate the redevelopment of the site for a proposed 24 storey residential building with 60m2 non-residential retail use at grade and containing 321 dwelling units, with 162 vehicular and 289 bi",782 MARLEE AVE,8,20351,65,20416,321,http://app.toronto.ca/AIC/index.do?folderRsn=fvWj1eZVbeUpg6yw%2BXgeSQ%3D%3D
1943,Active,20 160786 STE 12 OZ,2020-06-26,A proposal to amend the Zoning By-law to allow for a 21 and 23-storey residential building connected by a 5-8 storey podium element with a total of 419 residential units and a gross floor area of approximately 32438 square metres.,63 MONTCLAIR AVE,12,34519,0,34519,421,http://app.toronto.ca/AIC/index.do?folderRsn=YGesyqEi99th71TSsPkE1Q%3D%3D
1944,Active,21 196623 WET 02 OZ,2021-08-11,Proposed 14-storey residential building with 4 underground levels.,4174 DUNDAS ST W,2,11496,0,11496,107,http://app.toronto.ca/AIC/index.do?folderRsn=KLf%2BD9LzKei7oMOzoMXlpQ%3D%3D
1945,Active,19 262483 WET 03 OZ,2019-12-17,Zoning By-law Amendment application to redevelop the site with 14 back-to- back townhouse units. The proposed townhouse units will be 4-storeys (14.5 m) in height and have a total residential gross floor area of 2063sq m. A total of 18 surface parking sp,80 THIRTIETH ST,3,2063.01,0,2063.01,14,http://app.toronto.ca/AIC/index.do?folderRsn=ryx%2BMIZEeF7YxJxfzKvcmw%3D%3D
1946,Under Review,24 177979 WET 01 SA,2024-07-10,"The application proposes to reconfigure the `walking ring¿ area of Woodbine Racetrack, including the associated entrance/arrival area, landscaping, and passenger pick-up and drop-off areas associated with the adjacent private streets to the north and we",1122 QUEENS PLATE DR,1,0,3582.9,3582.9,0,http://app.toronto.ca/AIC/index.do?folderRsn=Ft4o%2B5RgMjZODKH1Bs7aMw%3D%3D
1947,Under Review,24 211777 WET 03 OZ,2024-09-12,"The application proposes an Official Plan and Zoning By-law Amendment to permit an 12-storey (including enclosed amenity area and mechanical penthouse) mixed use building with 79 residential units, six parking spaces, and retail at grade.",3418 LAKE SHORE BLVD W,3,6467.9,100.1,6568,79,http://app.toronto.ca/AIC/index.do?folderRsn=uok%2BwVCfwc6DquHDo2Xq8g%3D%3D
1948,Under Review,22 222351 ESC 22 OZ,2022-10-26,"Rezoning for proposed 12-storey mixed-use building with a total gross floor area of 27,179 square metres. The proposal includes a total of 356 residential units and 3,150 square metres of office and retail space. Total proposed parking is 363 spaces.",3600 FINCH AVE E,22,24159,3176,27335,356,http://app.toronto.ca/AIC/index.do?folderRsn=qH4AqT7UGG9mgokfQzrEHg%3D%3D
1949,Under Review,22 136287 WET 02 SA,2022-04-20,This is the site plan control application for Phase 1 of the lands. Site Plan Control application to permit the development of Phase One and Phase Two of the redevelopment at 250 Wincott Drive and 4620 Eglinton Avenue West. The proposed development inclu,250 WINCOTT DR,2,24279,1529,25808,313,http://app.toronto.ca/AIC/index.do?folderRsn=UTdxpFpwHJHJmTtrDHusMQ%3D%3D
1950,Under Review,25 121716 STE 12 OZ,2025-02-25,Zoning By-law Amendment two new 38 and 43-storey residential buildings. The proposed development will be comprised of 706 residential units.,59 LAWTON BLVD,12,46219,0,46219,706,http://app.toronto.ca/AIC/index.do?folderRsn=SxPpf7%2FDkr1AjCjsnl5w%2Fg%3D%3D
1951,Under Review,22 168205 WET 03 OZ,2022-06-27,"Proposal to demolish the existing commercial/residential building on the subject lands and redevelop the site with a stepped 9-storey mixed-use building, inclusive of a rooftop mechanical floor, containing retail uses at-grade and residential uses above.",2491 LAKE SHORE BLVD W,3,11187.86,330.36,11518.22,151,http://app.toronto.ca/AIC/index.do?folderRsn=9k7ByV2RH%2FAY7IrYc65Diw%3D%3D
1952,Under Review,22 130989 ESC 22 SA,2022-04-06,"This application pertains to Phase 3 of the proposal, which includes a new 18-storey addition to the existing Building C located at 1036 McNicoll Avenue. The addition introduces 175 residential units and a GFA of 15,033.99 m2. It will also add 49 vehicul",1028 MCNICOLL AVE,22,15033.99,0,15033.99,175,http://app.toronto.ca/AIC/index.do?folderRsn=csksQbRDyze%2BSa8hjJ1qgg%3D%3D
1953,Built,14 264875 NNY 34 OZ,2014-12-16,"Zoning amendment application to permit a 10,252 square metre residential development consisting of 39 dwelling units - 10 townhouse units, 16 semi-detached and 13 single-detached dwellings.",15 MALLOW RD,16,11278,0,11278,47,http://app.toronto.ca/AIC/index.do?folderRsn=BqauUwP7eVrs1uE5bmniew%3D%3D
1954,Built,16 110541 WET 05 OZ,2016-01-29,Proposed amendments to the Etobicoke Zoning Code (amending By-law 717-2006) to permit an eight storey residential building with 114 residential units (including 12 proposed rental replacement units) and a below grade parking garage. The three existing bu,4125 DUNDAS ST W,3,9891,0,9891,114,http://app.toronto.ca/AIC/index.do?folderRsn=ct9cKqqwWVP%2BdnxbB4adnw%3D%3D
1955,Under Review,24 240637 STE 12 OZ,2024-11-19,"Zoning By-law Amendment for a 49-storey mixed-use building with 576 rental apartment units, an early childhood education centre and ground floor commercial.",135 ST CLAIR AVE W,12,47601,948,48549,576,http://app.toronto.ca/AIC/index.do?folderRsn=FD1mfkabYUhTclN2UeO%2Bdg%3D%3D
1956,Active,21 181185 ESC 25 OZ,2021-07-07,"Proposal for a 12-storey mixed use building (37.3 metres) with commercial on the ground floor and residential above, containing 131 residential units.  The total gross floor area would be 9,599.98 square metres",4566-4568 KINGSTON RD,25,9060.84,173.72,9234.56,130,http://app.toronto.ca/AIC/index.do?folderRsn=9P0M%2BiIYFNMOE1uCL531qg%3D%3D
1957,Built,15 228738 STE 22 OZ,2015-09-25,Two 35- and 36-storey residential towers inclusive of a 5- and 7-storey podium base with a 7-storey base link connecting the two towers.,117 BROADWAY AVE,12,64796,692,65488,1010,http://app.toronto.ca/AIC/index.do?folderRsn=KBtC6%2B4pRtvA6YL%2FdiapbA%3D%3D
1958,Under Review,22 241048 ESC 20 SA,2022-12-19,"Site Plan Approval for a six storey Dymon Centre with a total gross floor area (""GFA"") of 17,876 sq. m., including 749 sq. m. of retail space (4%), 3,145 sq. m. of office space (17%), and 12,334 sq. m. of storage space (69%). A total of 97 parking spaces",743 WARDEN AVE,20,0,17653,17653,0,http://app.toronto.ca/AIC/index.do?folderRsn=u4FzSzTln5rdYClNPX2DMA%3D%3D
1959,Built,19 113008 STE 12 OZ,2019-02-07,Zoning By-law Amendment to facilitate redevelopment of the site with a new 9-storey residential building with 85 condominium units with ground level townhomes and a mix of larger suite sizes above.,202 ST CLAIR AVE W,12,13577,0,13577,85,http://app.toronto.ca/AIC/index.do?folderRsn=SShjSNx3kkS4IBh8E4nI7w%3D%3D
1960,Under Review,21 127937 NNY 08 OZ,2021-03-16,Zoning By Law Amendment Application to permit the proposal for a 50-storey mixed-use building including commercial units fronting onto Eglinton Avenue West and proposed townhouses fronting onto Livingstone Avenue. The total proposed gross floor area is,1812 EGLINTON AVE W,8,42949,202,43151,687,http://app.toronto.ca/AIC/index.do?folderRsn=5xO%2BnKXKeB3nMfIb6bs4Rw%3D%3D
1961,Active,21 234418 STE 04 OZ,2021-11-04,"Zoning By-law amendment application to facilitate the redevelopment of the site for a0 11-storey mixed-use building having a non-residential gross floor area of 193 square metres, and a residential gross floor area of 14935 square metres.",403 KEELE ST,4,16185,272,16457,281,http://app.toronto.ca/AIC/index.do?folderRsn=nkXckX3N2Mklq6pZyFBgsQ%3D%3D
1962,Active,20 205918 NNY 06 OZ,2020-10-13,"RENTAL HOUSING APPLICATION: 20 205924 NNY 06 RH  This application proposes to amend the Sheppard West / Dublin Secondary Plan, former City of North York Zoning By-law 7625 and City of Toronto Zoning By-law 569-2013 for the property at 824 Sheppard Avenue",824 SHEPPARD AVE W,6,17626.97,418.11,18045.08,308,http://app.toronto.ca/AIC/index.do?folderRsn=XTnhiq65idcaKUvztwDRsg%3D%3D
1963,Built,17 210219 STE 14 OZ,2017-08-02,"Zoning By-law Amendment to facilitate redevelopment of the site with a  9-storey mixed-use building: 151 dwelling units, 63 parking spaces,541 sq.m. non-res GFA, 12839 sq. m. res GFA.",2720 DUNDAS ST W,4,12683.5,542,13225.5,144,http://app.toronto.ca/AIC/index.do?folderRsn=n1TUKNthZrYGl2fX6kiptw%3D%3D
1964,Under Review,22 242126 STE 14 OZ,2022-12-23,Official Plan Amendment and Zoning By-law Amendment applications resulting from a settlement at the OLT.    The proposed development consists of two seven-storey (7-storey) residential buildings with a total of 227 residential dwelling units.,50 LAING ST,14,13981,0,13981,248,http://app.toronto.ca/AIC/index.do?folderRsn=bUDB8ILgd0syEKOC7Jn8YA%3D%3D
1965,Under Review,24 180616 STE 04 SA,2024-07-15,City-initiated site plan application proposes a Community Recreation Centre adjacent to Sorauren Park. The community centre will be a 4 storey (26 metre) building with programs identified in the City's Parks and Recreation Facilities Master Plan to inclu,40 WABASH AVE,4,0,6036,6036,0,http://app.toronto.ca/AIC/index.do?folderRsn=0SARmwI2Sy4sZ0DgDdmKgw%3D%3D
1966,Built,22 230860 STE 10 SA,2022-11-18,"In-fill addition of a four storey residential building with 31 rent geared to income units and ancillary non-residential uses on the ground floor. Proposal is within the Rapid Housing Initiative, Open Door Affordable Housing program and C2K review progra",25 AUGUSTA AVE,10,1555,0,1555,31,http://app.toronto.ca/AIC/index.do?folderRsn=kDTwyZFTbKTK0AhPEwna%2BQ%3D%3D
1967,Active,22 167486 STE 09 OZ,2022-06-24,"The developer intends to develop the subject lands with a 17-storey, 57 meter mixed-use building consisting of 258 units in 16,732 square meters of residential floor area and 1,404 square meters of non-residential floor area. Non-residential floor area w",1613 ST CLAIR AVE W,9,16732,1404,18136,258,http://app.toronto.ca/AIC/index.do?folderRsn=TDwp2QBtJbGW7VE8pcfGxw%3D%3D
1968,Active,22 107996 NNY 15 SA,2022-01-27,"Site Plan Approval for a 3-storey addition to the existing school (Hodgson Middle School). The proposed addition has an area of 4258.8 square metres, for a proposed total non-residential gross floor area of 8091.5 square metres",276 DAVISVILLE AVE,15,0,4258.5,4258.5,0,http://app.toronto.ca/AIC/index.do?folderRsn=xstVNaLuUtkvSDy7dsFHHQ%3D%3D
1969,Under Review,21 215481 NNY 16 SA,2021-09-21,Site Plan application,1123 LESLIE ST,16,0,38124,38124,0,http://app.toronto.ca/AIC/index.do?folderRsn=mddIfheJqSBob8%2FDZyBikw%3D%3D
1970,Under Review,21 204556 STE 13 OZ,2021-08-26,"Official Plan and Zoning By-law Amendment Application to facilitate the development of the site with two mixed use buildings: 59 and 55 storeys, containing 1,284 dwelling units and 1,895 square metres of non-residential gross floor area.    Community Con",1 SUMACH ST,13,78458,1662,80120,1284,http://app.toronto.ca/AIC/index.do?folderRsn=2F1slXZ13L9%2Fid7pjZjRkA%3D%3D
1971,Active,23 140427 STE 13 OZ,2023-05-02,"The application proposes to demolish the buildings at 2-12 Cawthra Square and to redevelop the site with a 63-storey residential tower with a gross floor area of 40,024 sq.m. The proposal would add 590 Units and 14 rental replacement units.",2 CAWTHRA SQ,13,39541,476,40017,590,http://app.toronto.ca/AIC/index.do?folderRsn=0S3f%2FNZj4wXIz44oJNPcXQ%3D%3D
1972,Active,23 231196 STE 14 SA,2023-11-29,"A Site Plan Control application to permit a new integrated pumping station as part of the existing Ashbridges Bay Water Treatment Plant which is to consist of four new buildings including a pump house, building screen, generator building, and IPS substat",7 LESLIE ST,14,0,1375,1375,0,http://app.toronto.ca/AIC/index.do?folderRsn=uhLnTKE2CdSH7OejHt%2BxQg%3D%3D
1973,Under Review,24 234048 NNY 18 OZ,2024-11-01,OPA & Rezoning to facilitate a redevelopment that is comprised of two separate buildings combined by a one-storey below grade parking structure. The proposed buildings are four (4) and eleven (11) stories in height. The four-storey building contains 15 r,234 SHEPPARD AVE W,18,3646,138,3784,58,http://app.toronto.ca/AIC/index.do?folderRsn=Dr4eACJ4TSdAwXZzIoF%2Fig%3D%3D
1974,Under Review,16 268010 NNY 15 OZ,2016-12-16,"Revised proposal for a 29-storey mixed-use building with retail containing 324 dwelling units and retail on the ground floor, 86 vechicular and 382 bicycle parking spaces. Proposal is under appeal and will be decided upon at the Ontario Land tribunal (OL",3019 DUFFERIN ST,8,26176,349,26525,329,http://app.toronto.ca/AIC/index.do?folderRsn=cjanvW%2FzfD2KNT0XmfrFDw%3D%3D
1975,Active,18 257584 WET 05 OZ,2018-11-16,"Proposal for a terraced 27-storey apartment building stepping down to the Islington Village area to the north. A total of 325 residential units are anticipated, with a proposed density of 9.59  FSI.",12 CORDOVA AVE,3,23549,0,23549,325,http://app.toronto.ca/AIC/index.do?folderRsn=A3dzXJC4tf9smp8p6qNEtQ%3D%3D
